Brand,Model,Transmission,Fuel type,Year of Manufacture,median_price,count,min_year,max_year
Daihatsu,Mira,Automatic,Petrol,2006,4495000.0,1.0,2006.0,2025.0
Daihatsu,Mira,Automatic,Petrol,2007,4627777.777777778,0.0,,
Daihatsu,Mira,Automatic,Petrol,2008,4760555.555555556,0.0,,
Daihatsu,Mira,Automatic,Petrol,2009,4893333.333333333,0.0,,
Daihatsu,Mira,Automatic,Petrol,2010,5026111.111111111,0.0,,
Daihatsu,Mira,Automatic,Petrol,2011,5158888.888888889,0.0,,
Daihatsu,Mira,Automatic,Petrol,2012,5291666.666666667,0.0,,
Daihatsu,Mira,Automatic,Petrol,2013,5424444.444444444,0.0,,
Daihatsu,Mira,Automatic,Petrol,2014,5557222.222222222,0.0,,
Daihatsu,Mira,Automatic,Petrol,2015,5690000.0,3.0,2006.0,2025.0
Daihatsu,Mira,Automatic,Petrol,2016,5450000.0,3.0,2006.0,2025.0
Daihatsu,Mira,Automatic,Petrol,2017,5950000.0,3.0,2006.0,2025.0
Daihatsu,Mira,Automatic,Petrol,2018,6116666.666666667,0.0,,
Daihatsu,Mira,Automatic,Petrol,2019,6283333.333333333,0.0,,
Daihatsu,Mira,Automatic,Petrol,2020,6450000.0,0.0,,
Daihatsu,Mira,Automatic,Petrol,2021,6616666.666666667,0.0,,
Daihatsu,Mira,Automatic,Petrol,2022,6783333.333333333,0.0,,
Daihatsu,Mira,Automatic,Petrol,2023,6950000.0,23.0,2006.0,2025.0
Daihatsu,Mira,Automatic,Petrol,2024,7320000.0,8.0,2006.0,2025.0
Daihatsu,Mira,Automatic,Petrol,2025,7975000.0,2.0,2006.0,2025.0
Daihatsu,Other Model,Automatic,Petrol,2023,8900000.0,3.0,2023.0,2025.0
Daihatsu,Other Model,Automatic,Petrol,2024,9450000.0,17.0,2023.0,2025.0
Daihatsu,Other Model,Automatic,Petrol,2025,10345000.0,2.0,2023.0,2025.0
Honda,Vezel,Tiptronic,Hybrid,2018,14500000.0,1.0,2018.0,2025.0
Honda,Vezel,Tiptronic,Hybrid,2019,16190000.0,0.0,,
Honda,Vezel,Tiptronic,Hybrid,2020,17880000.0,0.0,,
Honda,Vezel,Tiptronic,Hybrid,2021,19570000.0,0.0,,
Honda,Vezel,Tiptronic,Hybrid,2022,21260000.0,0.0,,
Honda,Vezel,Tiptronic,Hybrid,2023,22950000.0,5.0,2018.0,2025.0
Honda,Vezel,Tiptronic,Hybrid,2024,23150000.0,6.0,2018.0,2025.0
Honda,Vezel,Tiptronic,Hybrid,2025,21000000.0,2.0,2018.0,2025.0
Hyundai,Accent,Automatic,Petrol,2001,2450000.0,3.0,2001.0,2001.0
Hyundai,Accent,Manual,Petrol,2000,2400000.0,1.0,2000.0,2006.0
Hyundai,Accent,Manual,Petrol,2001,2400000.0,5.0,2000.0,2006.0
Hyundai,Accent,Manual,Petrol,2002,2331000.0,0.0,,
Hyundai,Accent,Manual,Petrol,2003,2262000.0,0.0,,
Hyundai,Accent,Manual,Petrol,2004,2193000.0,0.0,,
Hyundai,Accent,Manual,Petrol,2005,2124000.0,0.0,,
Hyundai,Accent,Manual,Petrol,2006,2055000.0,2.0,2000.0,2006.0
Hyundai,Grand i10,Automatic,Petrol,2016,5625000.0,1.0,2016.0,2024.0
Hyundai,Grand i10,Automatic,Petrol,2017,6025000.0,2.0,2016.0,2024.0
Hyundai,Grand i10,Automatic,Petrol,2018,6500000.0,1.0,2016.0,2024.0
Hyundai,Grand i10,Automatic,Petrol,2019,6800000.0,0.0,,
Hyundai,Grand i10,Automatic,Petrol,2020,7100000.0,0.0,,
Hyundai,Grand i10,Automatic,Petrol,2021,7400000.0,0.0,,
Hyundai,Grand i10,Automatic,Petrol,2022,7700000.0,0.0,,
Hyundai,Grand i10,Automatic,Petrol,2023,8000000.0,1.0,2016.0,2024.0
Hyundai,Grand i10,Automatic,Petrol,2024,9439999.0,7.0,2016.0,2024.0
Hyundai,Grand i10,Tiptronic,Petrol,2016,6550000.0,1.0,2016.0,2025.0
Hyundai,Grand i10,Tiptronic,Petrol,2017,6200000.0,1.0,2016.0,2025.0
Hyundai,Grand i10,Tiptronic,Petrol,2018,6662857.142857143,0.0,,
Hyundai,Grand i10,Tiptronic,Petrol,2019,7125714.285714285,0.0,,
Hyundai,Grand i10,Tiptronic,Petrol,2020,7588571.428571429,0.0,,
Hyundai,Grand i10,Tiptronic,Petrol,2021,8051428.571428571,0.0,,
Hyundai,Grand i10,Tiptronic,Petrol,2022,8514285.714285715,0.0,,
Hyundai,Grand i10,Tiptronic,Petrol,2023,8977142.857142858,0.0,,
Hyundai,Grand i10,Tiptronic,Petrol,2024,9440000.0,5.0,2016.0,2025.0
Hyundai,Grand i10,Tiptronic,Petrol,2025,9440000.0,5.0,2016.0,2025.0
Hyundai,Other Model,Automatic,Petrol,2000,2200000.0,1.0,2000.0,2017.0
Hyundai,Other Model,Automatic,Petrol,2001,2495000.0,1.0,2000.0,2017.0
Hyundai,Other Model,Automatic,Petrol,2002,3026562.5,0.0,,
Hyundai,Other Model,Automatic,Petrol,2003,3558125.0,0.0,,
Hyundai,Other Model,Automatic,Petrol,2004,4089687.5,0.0,,
Hyundai,Other Model,Automatic,Petrol,2005,4621250.0,0.0,,
Hyundai,Other Model,Automatic,Petrol,2006,5152812.5,0.0,,
Hyundai,Other Model,Automatic,Petrol,2007,5684375.0,0.0,,
Hyundai,Other Model,Automatic,Petrol,2008,6215937.5,0.0,,
Hyundai,Other Model,Automatic,Petrol,2009,6747500.0,0.0,,
Hyundai,Other Model,Automatic,Petrol,2010,7279062.5,0.0,,
Hyundai,Other Model,Automatic,Petrol,2011,7810625.0,0.0,,
Hyundai,Other Model,Automatic,Petrol,2012,8342187.5,0.0,,
Hyundai,Other Model,Automatic,Petrol,2013,8873750.0,0.0,,
Hyundai,Other Model,Automatic,Petrol,2014,9405312.5,0.0,,
Hyundai,Other Model,Automatic,Petrol,2015,9936875.0,0.0,,
Hyundai,Other Model,Automatic,Petrol,2016,10468437.5,0.0,,
Hyundai,Other Model,Automatic,Petrol,2017,11000000.0,1.0,2000.0,2017.0
Hyundai,Other Model,Manual,Petrol,2003,2175000.0,1.0,2003.0,2003.0
Hyundai,Santa Fe,Automatic,Diesel,2014,15125000.0,2.0,2014.0,2014.0
Hyundai,Santa Fe,Automatic,Hybrid,2025,35500000.0,1.0,2025.0,2025.0
Hyundai,Santa Fe,Automatic,Petrol,2004,3950000.0,1.0,2004.0,2004.0
Hyundai,Santa Fe,Manual,Petrol,2007,7500000.0,1.0,2007.0,2007.0
Hyundai,Santa Fe,Tiptronic,Diesel,2008,7250000.0,1.0,2008.0,2008.0
Hyundai,Santa Fe,Tiptronic,Hybrid,2025,35500000.0,11.0,2025.0,2025.0
Hyundai,Santa Fe,Tiptronic,Petrol,2025,35500000.0,2.0,2025.0,2025.0
Kia,Other Model,Manual,Petrol,2000,1275000.0,1.0,2000.0,2000.0
Kia,Sorento,Automatic,Diesel,2008,6700000.0,1.0,2008.0,2018.0
Kia,Sorento,Automatic,Diesel,2009,8758333.333333334,0.0,,
Kia,Sorento,Automatic,Diesel,2010,10816666.666666666,0.0,,
Kia,Sorento,Automatic,Diesel,2011,12875000.0,4.0,2008.0,2018.0
Kia,Sorento,Automatic,Diesel,2012,14000000.0,2.0,2008.0,2018.0
Kia,Sorento,Automatic,Diesel,2013,17500000.0,1.0,2008.0,2018.0
