Brand,Model,Transmission,Fuel type,Year of Manufacture,median_price,count,min_year,max_year
Daihatsu,Mira,Automatic,Petrol,2006,4495000.0,1.0,2006.0,2025.0
Daihatsu,Mira,Automatic,Petrol,2007,6261428.571017152,0.0,,
Daihatsu,Mira,Automatic,Petrol,2008,6261428.571054554,0.0,,
Daihatsu,Mira,Automatic,Petrol,2009,6261428.5710919555,0.0,,
Daihatsu,Mira,Automatic,Petrol,2010,6261428.571129357,0.0,,
Daihatsu,Mira,Automatic,Petrol,2011,6261428.571166759,0.0,,
Daihatsu,Mira,Automatic,Petrol,2012,6261428.571204161,0.0,,
Daihatsu,Mira,Automatic,Petrol,2013,6261428.571241562,0.0,,
Daihatsu,Mira,Automatic,Petrol,2014,6261428.571278964,0.0,,
Daihatsu,Mira,Automatic,Petrol,2015,5690000.0,3.0,2006.0,2025.0
Daihatsu,Mira,Automatic,Petrol,2016,5450000.0,3.0,2006.0,2025.0
Daihatsu,Mira,Automatic,Petrol,2017,5950000.0,3.0,2006.0,2025.0
Daihatsu,Mira,Automatic,Petrol,2018,6261428.571428572,0.0,,
Daihatsu,Mira,Automatic,Petrol,2019,6261428.571465973,0.0,,
Daihatsu,Mira,Automatic,Petrol,2020,6261428.571503375,0.0,,
Daihatsu,Mira,Automatic,Petrol,2021,6261428.571540777,0.0,,
Daihatsu,Mira,Automatic,Petrol,2022,6261428.571578179,0.0,,
Daihatsu,Mira,Automatic,Petrol,2023,6950000.0,23.0,2006.0,2025.0
Daihatsu,Mira,Automatic,Petrol,2024,7320000.0,8.0,2006.0,2025.0
Daihatsu,Mira,Automatic,Petrol,2025,7975000.0,2.0,2006.0,2025.0
Daihatsu,Other Model,Automatic,Petrol,2023,8900000.0,3.0,2023.0,2025.0
Daihatsu,Other Model,Automatic,Petrol,2024,9450000.0,17.0,2023.0,2025.0
Daihatsu,Other Model,Automatic,Petrol,2025,10345000.0,2.0,2023.0,2025.0
Honda,Vezel,Tiptronic,Hybrid,2018,14500000.0,1.0,2018.0,2025.0
Honda,Vezel,Tiptronic,Hybrid,2019,20399999.99999049,0.0,,
Honda,Vezel,Tiptronic,Hybrid,2020,20399999.999993205,0.0,,
Honda,Vezel,Tiptronic,Hybrid,2021,20399999.999995925,0.0,,
Honda,Vezel,Tiptronic,Hybrid,2022,20399999.99999864,0.0,,
Honda,Vezel,Tiptronic,Hybrid,2023,22950000.0,5.0,2018.0,2025.0
Honda,Vezel,Tiptronic,Hybrid,2024,23150000.0,6.0,2018.0,2025.0
Honda,Vezel,Tiptronic,Hybrid,2025,21000000.0,2.0,2018.0,2025.0
Hyundai,Accent,Automatic,Petrol,2001,2450000.0,3.0,2001.0,2001.0
Hyundai,Accent,Manual,Petrol,2000,2400000.0,1.0,2000.0,2006.0
Hyundai,Accent,Manual,Petrol,2001,2400000.0,5.0,2000.0,2006.0
Hyundai,Accent,Manual,Petrol,2002,2285000.000015954,0.0,,
Hyundai,Accent,Manual,Petrol,2003,2284999.999968092,0.0,,
Hyundai,Accent,Manual,Petrol,2004,2284999.99992023,0.0,,
Hyundai,Accent,Manual,Petrol,2005,2284999.999872368,0.0,,
Hyundai,Accent,Manual,Petrol,2006,2055000.0,2.0,2000.0,2006.0
Hyundai,Grand i10,Automatic,Petrol,2016,5625000.0,1.0,2016.0,2024.0
Hyundai,Grand i10,Automatic,Petrol,2017,6025000.0,2.0,2016.0,2024.0
Hyundai,Grand i10,Automatic,Petrol,2018,6500000.0,1.0,2016.0,2024.0
Hyundai,Grand i10,Automatic,Petrol,2019,7117999.799993256,0.0,,
Hyundai,Grand i10,Automatic,Petrol,2020,7117999.800004495,0.0,,
Hyundai,Grand i10,Automatic,Petrol,2021,7117999.8000157345,0.0,,
Hyundai,Grand i10,Automatic,Petrol,2022,7117999.800026973,0.0,,
Hyundai,Grand i10,Automatic,Petrol,2023,8000000.0,1.0,2016.0,2024.0
Hyundai,Grand i10,Automatic,Petrol,2024,9439999.0,7.0,2016.0,2024.0
Hyundai,Grand i10,Tiptronic,Petrol,2016,6550000.0,1.0,2016.0,2025.0
Hyundai,Grand i10,Tiptronic,Petrol,2017,6200000.0,1.0,2016.0,2025.0
Hyundai,Grand i10,Tiptronic,Petrol,2018,7907499.999974252,0.0,,
Hyundai,Grand i10,Tiptronic,Petrol,2019,7907499.999984551,0.0,,
Hyundai,Grand i10,Tiptronic,Petrol,2020,7907499.999994851,0.0,,
Hyundai,Grand i10,Tiptronic,Petrol,2021,7907500.00000515,0.0,,
Hyundai,Grand i10,Tiptronic,Petrol,2022,7907500.000015449,0.0,,
Hyundai,Grand i10,Tiptronic,Petrol,2023,7907500.000025748,0.0,,
Hyundai,Grand i10,Tiptronic,Petrol,2024,9440000.0,5.0,2016.0,2025.0
Hyundai,Grand i10,Tiptronic,Petrol,2025,9440000.0,5.0,2016.0,2025.0
Hyundai,Other Model,Automatic,Petrol,2000,2200000.0,1.0,2000.0,2017.0
Hyundai,Other Model,Automatic,Petrol,2001,2495000.0,1.0,2000.0,2017.0
Hyundai,Other Model,Automatic,Petrol,2002,5231666.666643768,0.0,,
Hyundai,Other Model,Automatic,Petrol,2003,5231666.666649492,0.0,,
Hyundai,Other Model,Automatic,Petrol,2004,5231666.666655217,0.0,,
Hyundai,Other Model,Automatic,Petrol,2005,5231666.666660942,0.0,,
Hyundai,Other Model,Automatic,Petrol,2006,5231666.666666667,0.0,,
Hyundai,Other Model,Automatic,Petrol,2007,5231666.666672392,0.0,,
Hyundai,Other Model,Automatic,Petrol,2008,5231666.666678117,0.0,,
Hyundai,Other Model,Automatic,Petrol,2009,5231666.6666838415,0.0,,
Hyundai,Other Model,Automatic,Petrol,2010,5231666.666689566,0.0,,
Hyundai,Other Model,Automatic,Petrol,2011,5231666.666695291,0.0,,
Hyundai,Other Model,Automatic,Petrol,2012,5231666.666701016,0.0,,
Hyundai,Other Model,Automatic,Petrol,2013,5231666.666706741,0.0,,
Hyundai,Other Model,Automatic,Petrol,2014,5231666.666712466,0.0,,
Hyundai,Other Model,Automatic,Petrol,2015,5231666.666718191,0.0,,
Hyundai,Other Model,Automatic,Petrol,2016,5231666.666723915,0.0,,
Hyundai,Other Model,Automatic,Petrol,2017,11000000.0,1.0,2000.0,2017.0
Hyundai,Other Model,Manual,Petrol,2003,2175000.0,1.0,2003.0,2003.0
Hyundai,Santa Fe,Automatic,Diesel,2014,15125000.0,2.0,2014.0,2014.0
