Brand,Model,Transmission,Fuel type,Year of Manufacture,median_price,count,min_year,max_year
Daihatsu,Mira,Automatic,Petrol,2006,4495000.0,1.0,2006.0,2025.0
Daihatsu,Mira,Automatic,Petrol,2007,6638545.197201297,0.0,,
Daihatsu,Mira,Automatic,Petrol,2008,6638545.197240977,0.0,,
Daihatsu,Mira,Automatic,Petrol,2009,6638545.197280657,0.0,,
Daihatsu,Mira,Automatic,Petrol,2010,6638545.197320336,0.0,,
Daihatsu,Mira,Automatic,Petrol,2011,6638545.1973600155,0.0,,
Daihatsu,Mira,Automatic,Petrol,2012,6638545.197399695,0.0,,
Daihatsu,Mira,Automatic,Petrol,2013,6638545.197439375,0.0,,
Daihatsu,Mira,Automatic,Petrol,2014,6638545.197479055,0.0,,
Daihatsu,Mira,Automatic,Petrol,2015,5690000.0,3.0,2006.0,2025.0
Daihatsu,Mira,Automatic,Petrol,2016,5450000.0,3.0,2006.0,2025.0
Daihatsu,Mira,Automatic,Petrol,2017,5950000.0,3.0,2006.0,2025.0
Daihatsu,Mira,Automatic,Petrol,2018,6638545.197637775,0.0,,
Daihatsu,Mira,Automatic,Petrol,2019,6638545.197677455,0.0,,
Daihatsu,Mira,Automatic,Petrol,2020,6638545.197717134,0.0,,
Daihatsu,Mira,Automatic,Petrol,2021,6638545.197756814,0.0,,
Daihatsu,Mira,Automatic,Petrol,2022,6638545.197796494,0.0,,
Daihatsu,Mira,Automatic,Petrol,2023,6950000.0,23.0,2006.0,2025.0
Daihatsu,Mira,Automatic,Petrol,2024,7320000.0,8.0,2006.0,2025.0
Daihatsu,Mira,Automatic,Petrol,2025,7975000.0,2.0,2006.0,2025.0
Daihatsu,Other Model,Automatic,Petrol,2023,8900000.0,3.0,2023.0,2025.0
Daihatsu,Other Model,Automatic,Petrol,2024,9450000.0,17.0,2023.0,2025.0
Daihatsu,Other Model,Automatic,Petrol,2025,10345000.0,2.0,2023.0,2025.0
Honda,Vezel,Tiptronic,Hybrid,2018,14500000.0,1.0,2018.0,2025.0
Honda,Vezel,Tiptronic,Hybrid,2019,22280219.78022138,0.0,,
Honda,Vezel,Tiptronic,Hybrid,2020,22280219.780221056,0.0,,
Honda,Vezel,Tiptronic,Hybrid,2021,22280219.780220732,0.0,,
Honda,Vezel,Tiptronic,Hybrid,2022,22280219.780220408,0.0,,
Honda,Vezel,Tiptronic,Hybrid,2023,22950000.0,5.0,2018.0,2025.0
Honda,Vezel,Tiptronic,Hybrid,2024,23150000.0,6.0,2018.0,2025.0
Honda,Vezel,Tiptronic,Hybrid,2025,21000000.0,2.0,2018.0,2025.0
Hyundai,Accent,Automatic,Petrol,2001,2450000.0,3.0,2001.0,2001.0
Hyundai,Accent,Manual,Petrol,2000,2400000.0,1.0,2000.0,2006.0
Hyundai,Accent,Manual,Petrol,2001,2400000.0,5.0,2000.0,2006.0
Hyundai,Accent,Manual,Petrol,2002,2285000.000015954,0.0,,
Hyundai,Accent,Manual,Petrol,2003,2284999.999968092,0.0,,
Hyundai,Accent,Manual,Petrol,2004,2284999.99992023,0.0,,
Hyundai,Accent,Manual,Petrol,2005,2284999.999872368,0.0,,
Hyundai,Accent,Manual,Petrol,2006,2055000.0,2.0,2000.0,2006.0
Hyundai,Grand i10,Automatic,Petrol,2016,5625000.0,1.0,2016.0,2024.0
Hyundai,Grand i10,Automatic,Petrol,2017,6025000.0,2.0,2016.0,2024.0
Hyundai,Grand i10,Automatic,Petrol,2018,6500000.0,1.0,2016.0,2024.0
Hyundai,Grand i10,Automatic,Petrol,2019,7034111.822429615,0.0,,
Hyundai,Grand i10,Automatic,Petrol,2020,7034111.822440038,0.0,,
Hyundai,Grand i10,Automatic,Petrol,2021,7034111.822450462,0.0,,
Hyundai,Grand i10,Automatic,Petrol,2022,7034111.822460885,0.0,,
Hyundai,Grand i10,Automatic,Petrol,2023,8000000.0,1.0,2016.0,2024.0
Hyundai,Grand i10,Automatic,Petrol,2024,9439999.0,7.0,2016.0,2024.0
Hyundai,Grand i10,Tiptronic,Petrol,2016,6550000.0,1.0,2016.0,2025.0
Hyundai,Grand i10,Tiptronic,Petrol,2017,6200000.0,1.0,2016.0,2025.0
Hyundai,Grand i10,Tiptronic,Petrol,2018,8446710.526273828,0.0,,
Hyundai,Grand i10,Tiptronic,Petrol,2019,8446710.526285466,0.0,,
Hyundai,Grand i10,Tiptronic,Petrol,2020,8446710.526297105,0.0,,
Hyundai,Grand i10,Tiptronic,Petrol,2021,8446710.526308745,0.0,,
Hyundai,Grand i10,Tiptronic,Petrol,2022,8446710.526320383,0.0,,
