,Brand,Model,Transmission,Fuel type,Year of Manufacture,median_price,count, adjusted_median_price , final_price 
0,Daihatsu,Mira,Automatic,Petrol,2006,4495000,1," 4,495,000 "," 4,225,300 "
1,Daihatsu,Mira,Automatic,Petrol,2007,4674800,0," 4,614,444 "," 4,337,578 "
2,Daihatsu,Mira,Automatic,Petrol,2008,4861792,0," 4,733,889 "," 4,449,856 "
3,Daihatsu,Mira,Automatic,Petrol,2009,5056263.68,0," 4,853,333 "," 4,562,133 "
4,Daihatsu,Mira,Automatic,Petrol,2010,5359639.501,0," 4,972,778 "," 4,674,411 "
5,Daihatsu,Mira,Automatic,Petrol,2011,5681217.871,0," 5,092,222 "," 4,684,844 "
6,Daihatsu,Mira,Automatic,Petrol,2012,6022090.943,0," 5,211,667 "," 4,794,733 "
7,Daihatsu,Mira,Automatic,Petrol,2013,6383416.4,0," 5,331,111 "," 4,904,622 "
8,Daihatsu,Mira,Automatic,Petrol,2014,6766421.384,0," 5,450,556 "," 5,014,511 "
9,Daihatsu,Mira,Automatic,Petrol,2015,5690000,3," 5,570,000 "," 5,124,400 "
10,Daihatsu,Mira,Automatic,Petrol,2016,5450000,3," 5,570,000 "," 5,124,400 "
11,Daihatsu,Mira,Automatic,Petrol,2017,5950000,3," 5,950,000 "," 5,474,000 "
12,Daihatsu,Mira,Automatic,Petrol,2018,6366500,0," 6,116,667 "," 5,627,333 "
13,Daihatsu,Mira,Automatic,Petrol,2019,6812155,0," 6,283,333 "," 5,780,667 "
14,Daihatsu,Mira,Automatic,Petrol,2020,7357127.4,0," 6,450,000 "," 5,934,000 "
15,Daihatsu,Mira,Automatic,Petrol,2021,7945697.592,0," 6,616,667 "," 6,087,333 "
16,Daihatsu,Mira,Automatic,Petrol,2022,8581353.399,0," 6,783,333 "," 6,240,667 "
17,Daihatsu,Mira,Automatic,Petrol,2023,6950000,23," 6,950,000 "," 6,394,000 "
18,Daihatsu,Mira,Automatic,Petrol,2024,7320000,8," 7,320,000 "," 6,734,400 "
19,Daihatsu,Mira,Automatic,Petrol,2025,7975000,2," 7,975,000 "," 7,257,250 "
20,Daihatsu,Other Model,Automatic,Petrol,2023,8900000,3," 8,900,000 "," 8,099,000 "
21,Daihatsu,Other Model,Automatic,Petrol,2024,9450000,17," 9,450,000 "," 8,599,500 "
22,Daihatsu,Other Model,Automatic,Petrol,2025,10345000,2," 10,345,000 "," 9,310,500 "
23,Honda,Vezel,Tiptronic,Hybrid,2018,14500000,1," 14,500,000 "," 13,050,000 "
24,Honda,Vezel,Tiptronic,Hybrid,2019,15660000,0," 16,148,462 "," 14,210,646 "
25,Honda,Vezel,Tiptronic,Hybrid,2020,16912800,0," 17,796,923 "," 15,661,292 "
26,Honda,Vezel,Tiptronic,Hybrid,2021,18265824,0," 19,445,385 "," 17,111,938 "
27,Honda,Vezel,Tiptronic,Hybrid,2022,19727089.92,0," 21,093,846 "," 18,562,585 "
28,Honda,Vezel,Tiptronic,Hybrid,2023,22950000,5," 22,742,308 "," 20,013,231 "
29,Honda,Vezel,Tiptronic,Hybrid,2024,23150000,6," 22,742,308 "," 20,013,231 "
30,Honda,Vezel,Tiptronic,Hybrid,2025,21000000,2," 22,742,308 "," 20,013,231 "
31,Hyundai,Accent,Manual,Petrol,2000,2400000,1," 2,313,750 "," 2,198,063 "
32,Hyundai,Accent,Manual,Petrol,2001,2400000,5," 2,313,750 "," 2,198,063 "
33,Hyundai,Accent,Manual,Petrol,2002,2472000,0," 2,313,750 "," 2,198,063 "
34,Hyundai,Accent,Manual,Petrol,2003,2546160,0," 2,313,750 "," 2,198,063 "
35,Hyundai,Accent,Manual,Petrol,2004,2622544.8,0," 2,313,750 "," 2,198,063 "
36,Hyundai,Accent,Manual,Petrol,2005,2727446.592,0," 2,313,750 "," 2,198,063 "
37,Hyundai,Accent,Manual,Petrol,2006,2055000,2," 2,313,750 "," 2,198,063 "
38,Hyundai,Accent,Automatic,Petrol,2001,2450000,3," 2,450,000 "," 2,327,500 "
39,Hyundai,Grand i10,Automatic,Petrol,2016,5625000,1," 5,625,000 "," 5,175,000 "
40,Hyundai,Grand i10,Automatic,Petrol,2017,6025000,2," 6,025,000 "," 5,543,000 "
41,Hyundai,Grand i10,Automatic,Petrol,2018,6500000,1," 6,500,000 "," 5,980,000 "
42,Hyundai,Grand i10,Automatic,Petrol,2019,6955000,0," 6,800,000 "," 6,256,000 "
43,Hyundai,Grand i10,Automatic,Petrol,2020,7511400,0," 7,100,000 "," 6,532,000 "
44,Hyundai,Grand i10,Automatic,Petrol,2021,8112312,0," 7,400,000 "," 6,808,000 "
45,Hyundai,Grand i10,Automatic,Petrol,2022,8761296.96,0," 7,700,000 "," 7,007,000 "
46,Hyundai,Grand i10,Automatic,Petrol,2023,8000000,1," 8,000,000 "," 7,280,000 "
47,Hyundai,Grand i10,Automatic,Petrol,2024,9439999,7," 9,439,999 "," 8,590,399 "
48,Hyundai,Grand i10,Tiptronic,Petrol,2016,6550000,1," 6,375,000 "," 5,865,000 "
49,Hyundai,Grand i10,Tiptronic,Petrol,2017,6200000,1," 6,375,000 "," 5,865,000 "
50,Hyundai,Grand i10,Tiptronic,Petrol,2018,6634000,0," 6,812,857 "," 6,267,829 "
51,Hyundai,Grand i10,Tiptronic,Petrol,2019,7098380,0," 7,250,714 "," 6,670,657 "
52,Hyundai,Grand i10,Tiptronic,Petrol,2020,7666250.4,0," 7,688,571 "," 6,996,600 "
53,Hyundai,Grand i10,Tiptronic,Petrol,2021,8279550.432,0," 8,126,429 "," 7,395,050 "
54,Hyundai,Grand i10,Tiptronic,Petrol,2022,8941914.467,0," 8,564,286 "," 7,793,500 "
55,Hyundai,Grand i10,Tiptronic,Petrol,2023,9657267.624,0," 9,002,143 "," 8,191,950 "
56,Hyundai,Grand i10,Tiptronic,Petrol,2024,9440000,5," 9,440,000 "," 8,590,400 "
57,Hyundai,Grand i10,Tiptronic,Petrol,2025,9440000,5," 9,440,000 "," 8,590,400 "
58,Hyundai,Other Model,Automatic,Petrol,2000,2200000,1," 2,200,000 "," 2,090,000 "
59,Hyundai,Other Model,Automatic,Petrol,2001,2495000,1," 2,495,000 "," 2,370,250 "
60,Hyundai,Other Model,Automatic,Petrol,2002,2569850,0," 2,569,850 "," 2,441,358 "
61,Hyundai,Other Model,Automatic,Petrol,2003,2646945.5,0," 2,646,946 "," 2,514,598 "
62,Hyundai,Other Model,Automatic,Petrol,2004,2726353.865,0," 2,726,354 "," 2,590,036 "
63,Hyundai,Other Model,Automatic,Petrol,2005,2835408.02,0," 2,835,408 "," 2,693,638 "
