Brand,Model,Transmission,Fuel type,Year of Manufacture,median_price,count,adjusted_median_price
Daihatsu,Mira,Automatic,Petrol,2006,4495000.0,1.0,4495000.0
Daihatsu,Mira,Automatic,Petrol,2007,4674800.0,0.0,4614444.444444444
Daihatsu,Mira,Automatic,Petrol,2008,4861792.0,0.0,4733888.888888889
Daihatsu,Mira,Automatic,Petrol,2009,5056263.680000001,0.0,4853333.333333333
Daihatsu,Mira,Automatic,Petrol,2010,5359639.5008000005,0.0,4972777.777777778
Daihatsu,Mira,Automatic,Petrol,2011,5681217.870848001,0.0,5092222.222222222
Daihatsu,Mira,Automatic,Petrol,2012,6022090.943098881,0.0,5211666.666666667
Daihatsu,Mira,Automatic,Petrol,2013,6383416.399684815,0.0,5331111.111111111
Daihatsu,Mira,Automatic,Petrol,2014,6766421.383665904,0.0,5450555.555555556
Daihatsu,Mira,Automatic,Petrol,2015,5690000.0,3.0,5570000.0
Daihatsu,Mira,Automatic,Petrol,2016,5450000.0,3.0,5570000.0
Daihatsu,Mira,Automatic,Petrol,2017,5950000.0,3.0,5950000.0
Daihatsu,Mira,Automatic,Petrol,2018,6366500.0,0.0,6116666.666666667
Daihatsu,Mira,Automatic,Petrol,2019,6812155.0,0.0,6283333.333333333
Daihatsu,Mira,Automatic,Petrol,2020,7357127.4,0.0,6450000.0
Daihatsu,Mira,Automatic,Petrol,2021,7945697.592000001,0.0,6616666.666666667
Daihatsu,Mira,Automatic,Petrol,2022,8581353.399360001,0.0,6783333.333333333
Daihatsu,Mira,Automatic,Petrol,2023,6950000.0,23.0,6950000.0
Daihatsu,Mira,Automatic,Petrol,2024,7320000.0,8.0,7320000.0
Daihatsu,Mira,Automatic,Petrol,2025,7975000.0,2.0,7975000.0
Daihatsu,Other Model,Automatic,Petrol,2023,8900000.0,3.0,8900000.0
Daihatsu,Other Model,Automatic,Petrol,2024,9450000.0,17.0,9450000.0
Daihatsu,Other Model,Automatic,Petrol,2025,10345000.0,2.0,10345000.0
Honda,Vezel,Tiptronic,Hybrid,2018,14500000.0,1.0,14500000.0
Honda,Vezel,Tiptronic,Hybrid,2019,15660000.000000002,0.0,16148461.538461538
Honda,Vezel,Tiptronic,Hybrid,2020,16912800.000000004,0.0,17796923.076923076
Honda,Vezel,Tiptronic,Hybrid,2021,18265824.000000004,0.0,19445384.615384616
Honda,Vezel,Tiptronic,Hybrid,2022,19727089.920000006,0.0,21093846.153846152
Honda,Vezel,Tiptronic,Hybrid,2023,22950000.0,5.0,22742307.692307692
Honda,Vezel,Tiptronic,Hybrid,2024,23150000.0,6.0,22742307.692307692
Honda,Vezel,Tiptronic,Hybrid,2025,21000000.0,2.0,22742307.692307692
Hyundai,Accent,Automatic,Petrol,2001,2450000.0,3.0,2450000.0
Hyundai,Accent,Manual,Petrol,2000,2400000.0,1.0,2313750.0
Hyundai,Accent,Manual,Petrol,2001,2400000.0,5.0,2313750.0
Hyundai,Accent,Manual,Petrol,2002,2472000.0,0.0,2313750.0
Hyundai,Accent,Manual,Petrol,2003,2546160.0,0.0,2313750.0
Hyundai,Accent,Manual,Petrol,2004,2622544.8000000003,0.0,2313750.0
Hyundai,Accent,Manual,Petrol,2005,2727446.592,0.0,2313750.0
Hyundai,Accent,Manual,Petrol,2006,2055000.0,2.0,2313750.0
Hyundai,Grand i10,Automatic,Petrol,2016,5625000.0,1.0,5625000.0
Hyundai,Grand i10,Automatic,Petrol,2017,6025000.0,2.0,6025000.0
Hyundai,Grand i10,Automatic,Petrol,2018,6500000.0,1.0,6500000.0
Hyundai,Grand i10,Automatic,Petrol,2019,6955000.0,0.0,6800000.0
Hyundai,Grand i10,Automatic,Petrol,2020,7511400.000000001,0.0,7100000.0
Hyundai,Grand i10,Automatic,Petrol,2021,8112312.000000002,0.0,7400000.0
Hyundai,Grand i10,Automatic,Petrol,2022,8761296.960000003,0.0,7700000.0
Hyundai,Grand i10,Automatic,Petrol,2023,8000000.0,1.0,8000000.0
Hyundai,Grand i10,Automatic,Petrol,2024,9439999.0,7.0,9439999.0
Hyundai,Grand i10,Tiptronic,Petrol,2016,6550000.0,1.0,6375000.0
Hyundai,Grand i10,Tiptronic,Petrol,2017,6200000.0,1.0,6375000.0
Hyundai,Grand i10,Tiptronic,Petrol,2018,6634000.0,0.0,6812857.142857143
