Brand,Model,Transmission,Fuel type,Year of Manufacture,median_price,count,adjusted_median_price
Daihatsu,Mira,Automatic,Petrol,2006,4495000.0,1.0,4315200.0
Daihatsu,Mira,Automatic,Petrol,2007,4674800.0,0.0,4423677.777777778
Daihatsu,Mira,Automatic,Petrol,2008,4861792.0,0.0,4532155.555555556
Daihatsu,Mira,Automatic,Petrol,2009,5056263.680000001,0.0,4640633.333333333
Daihatsu,Mira,Automatic,Petrol,2010,5359639.5008000005,0.0,4749111.111111111
Daihatsu,Mira,Automatic,Petrol,2011,5681217.870848001,0.0,4857588.888888889
Daihatsu,Mira,Automatic,Petrol,2012,6022090.943098881,0.0,4966066.666666667
Daihatsu,Mira,Automatic,Petrol,2013,6383416.399684815,0.0,5074544.444444444
Daihatsu,Mira,Automatic,Petrol,2014,6766421.383665904,0.0,5183022.222222222
Daihatsu,Mira,Automatic,Petrol,2015,5690000.0,3.0,5291500.0
Daihatsu,Mira,Automatic,Petrol,2016,5450000.0,3.0,5291500.0
Daihatsu,Mira,Automatic,Petrol,2017,5950000.0,3.0,5652500.0
Daihatsu,Mira,Automatic,Petrol,2018,6366500.0,0.0,5810833.333333333
Daihatsu,Mira,Automatic,Petrol,2019,6812155.0,0.0,5969166.666666667
Daihatsu,Mira,Automatic,Petrol,2020,7357127.4,0.0,6127500.0
Daihatsu,Mira,Automatic,Petrol,2021,7945697.592000001,0.0,6285833.333333333
Daihatsu,Mira,Automatic,Petrol,2022,8581353.399360001,0.0,6444166.666666667
Daihatsu,Mira,Automatic,Petrol,2023,6950000.0,23.0,6602500.0
Daihatsu,Mira,Automatic,Petrol,2024,7320000.0,8.0,6954000.0
Daihatsu,Mira,Automatic,Petrol,2025,7975000.0,2.0,7496500.0
Daihatsu,Other Model,Automatic,Petrol,2023,8900000.0,3.0,8365999.999999999
Daihatsu,Other Model,Automatic,Petrol,2024,9450000.0,17.0,8883000.0
Daihatsu,Other Model,Automatic,Petrol,2025,10345000.0,2.0,9620850.0
Honda,Vezel,Tiptronic,Hybrid,2018,14500000.0,1.0,13485000.0
Honda,Vezel,Tiptronic,Hybrid,2019,15660000.000000002,0.0,15018069.23076923
Honda,Vezel,Tiptronic,Hybrid,2020,16912800.000000004,0.0,16551138.46153846
Honda,Vezel,Tiptronic,Hybrid,2021,18265824.000000004,0.0,18084207.692307692
Honda,Vezel,Tiptronic,Hybrid,2022,19727089.920000006,0.0,19617276.92307692
Honda,Vezel,Tiptronic,Hybrid,2023,22950000.0,5.0,21150346.153846152
Honda,Vezel,Tiptronic,Hybrid,2024,23150000.0,6.0,21150346.153846152
Honda,Vezel,Tiptronic,Hybrid,2025,21000000.0,2.0,21150346.153846152
Hyundai,Accent,Automatic,Petrol,2001,2450000.0,3.0,2376500.0
Hyundai,Accent,Manual,Petrol,2000,2400000.0,1.0,2244337.5
Hyundai,Accent,Manual,Petrol,2001,2400000.0,5.0,2244337.5
Hyundai,Accent,Manual,Petrol,2002,2472000.0,0.0,2244337.5
Hyundai,Accent,Manual,Petrol,2003,2546160.0,0.0,2244337.5
Hyundai,Accent,Manual,Petrol,2004,2622544.8000000003,0.0,2244337.5
Hyundai,Accent,Manual,Petrol,2005,2727446.592,0.0,2244337.5
Hyundai,Accent,Manual,Petrol,2006,2055000.0,2.0,2244337.5
Hyundai,Grand i10,Automatic,Petrol,2016,5625000.0,1.0,5343750.0
Hyundai,Grand i10,Automatic,Petrol,2017,6025000.0,2.0,5723750.0
Hyundai,Grand i10,Automatic,Petrol,2018,6500000.0,1.0,6175000.0
Hyundai,Grand i10,Automatic,Petrol,2019,6955000.0,0.0,6444000.0
Hyundai,Grand i10,Automatic,Petrol,2020,7511400.000000001,0.0,6713000.0
Hyundai,Grand i10,Automatic,Petrol,2021,8112312.000000002,0.0,6982000.0
Hyundai,Grand i10,Automatic,Petrol,2022,8761296.960000003,0.0,7251000.0
