Post_Link,Posted_Title,Posted_Date,Brand,Model,Grade,Trim / Edition,Year of Manufacture,Condition,Transmission,Body type,Fuel type,Engine capacity,Mileage,Vehicle_Price
https://ikman.lk/en/ad/honda-crv-masterpiece-2017-for-sale-gampaha-1,Honda CRV Masterpiece 2017,"Posted on 20 Mar 1:59 pm, Kiribathgoda, Gampaha815views",Honda,CRV,0,Masterpiece,2017,Used,Tiptronic,SUV / 4x4,Petrol,"1,500 cc","100,000 km","Rs 19,250,000"
https://ikman.lk/en/ad/honda-crv-cr-v-vtil-2018-for-sale-colombo,Honda CRV CR-V VTIL 2018,"Posted on 11 Mar 7:50 am, Kohuwala, Colombo2532views",Honda,CRV,0,HONDA   CR-V VTIL,2018,Used,Tiptronic,SUV / 4x4,Petrol,"1,500 cc","53,000 km","Rs 22,500,000"
https://ikman.lk/en/ad/honda-vezel-z-premium-play-2024-for-sale-colombo,Honda Vezel Z premium play 2024,"Posted on 06 May 9:20 pm, Kohuwala, Colombo947views",Honda,Vezel,0, Z premium play,2024,Used,Tiptronic,Saloon,Hybrid,"1,500 cc","1,200 km","Rs 22,900,000"
https://ikman.lk/en/ad/honda-vezel-rs-sensing-led-face-2018-for-sale-colombo,Honda Vezel 2018,"Posted on 06 May 12:09 pm, Kolonnawa, Colombo974views",Honda,Vezel,0,Honda,2018,Used,Tiptronic,SUV / 4x4,Hybrid,"1,500 cc","64,000 km","Rs 14,500,000"
https://ikman.lk/en/ad/honda-grace-ex-package-2016-for-sale-gampaha-56,Honda Grace EX Package 2016,"Posted on 06 May 8:44 am, Ja-Ela, Gampaha214views",Honda,Grace,0,EX Package ,2016,Used,Tiptronic,Saloon,Hybrid,"1,500 cc","104,800 km","Rs 11,250,000"
https://ikman.lk/en/ad/honda-vezel-z-premium-plus-2024-for-sale-colombo,Honda Vezel Z premium plus 2024,"Posted on 04 May 9:38 am, Kohuwala, Colombo881views",Honda,Vezel,0,Z premium plus,2024,New,Tiptronic,Saloon,Hybrid,"1,500 cc",238 km,"Rs 23,400,000"
https://ikman.lk/en/ad/honda-vezel-z-premium-plus-edit-2024-for-sale-colombo,Honda Vezel Z premium plus edit 2024,"Posted on 02 May 6:23 pm, Kohuwala, Colombo1556views",Honda,Vezel,0,Z premium plus edit,2024,New,Tiptronic,Saloon,Hybrid,"1,500 cc",256 km,"Rs 23,500,000"
https://ikman.lk/en/ad/honda-vezel-z-grade-2023-for-sale-colombo-31,Honda Vezel Z Grade 2023,"Posted on 05 May 4:03 am, Kohuwala, Colombo626views",Honda,Vezel,0,Z Grade,2023,Reconditioned,Tiptronic,SUV / 4x4,Hybrid,"1,500 cc","12,500 km","Rs 21,950,000"
https://ikman.lk/en/ad/honda-vezel-z-premium-2024-for-sale-colombo-2,Honda Vezel Z premium 2024,"Posted on 01 May 7:48 pm, Kohuwala, Colombo486views",Honda,Vezel,0,Z premium,2024,New,Tiptronic,SUV / 4x4,Hybrid,"1,500 cc",275 km,"Rs 23,400,000"
https://ikman.lk/en/ad/honda-vezel-z-brand-new-2023-for-sale-colombo,Honda Vezel Z brand new 2023,"Posted on 01 May 3:22 pm, Kohuwala, Colombo470views",Honda,Vezel,0,Z brand new,2023,New,Tiptronic,Saloon,Hybrid,"1,500 cc",8 km,"Rs 21,950,000"
https://ikman.lk/en/ad/honda-vezel-z-play-moon-roof-2023-for-sale-gampaha,Honda Vezel Z Play Moon Roof 2023,"Posted on 29 Apr 7:45 pm, Kandana, Gampaha1396views",Honda,Vezel,0,Z Play Moon Roof,2023,New,Tiptronic,SUV / 4x4,Hybrid,"1,500 cc",0 km,"Rs 23,500,000"
https://ikman.lk/en/ad/honda-vezel-z-gread-2024-for-sale-colombo-1,Honda Vezel Z gread 2024,"Posted on 27 Apr 4:50 pm, Kohuwala, Colombo945views",Honda,Vezel,0,Z gread,2024,New,Tiptronic,Saloon,Hybrid,"1,500 cc",350 km,"Rs 21,900,000"
https://ikman.lk/en/ad/honda-freed-7-seater-2018-for-sale-colombo,Honda Freed 7 seater 2018,"Posted on 08 May 12:24 pm, Colombo 6, Colombo2199views",Honda,Freed,0,7 seater,2018,Used,Tiptronic,MPV,Hybrid,"1,500 cc","69,000 km","Rs 14,300,000"
https://ikman.lk/en/ad/honda-vezel-brand-new-z-grade-2025-for-sale-colombo,Honda Vezel Brand New Z Grade 2025,"Posted on 25 Apr 2:43 pm, Colombo 4, Colombo1562views",Honda,Vezel,0,Brand New Z Grade,2025,New,Tiptronic,SUV / 4x4,Hybrid,"1,500 cc",0 km,"Rs 21,000,000"
https://ikman.lk/en/ad/honda-vezel-brand-new-z-package-2025-for-sale-colombo,Honda Vezel brand New Z Package 2025,"Posted on 22 Apr 4:26 pm, Colombo 4, Colombo1368views",Honda,Vezel,0,brand New Z Package,2025,New,Tiptronic,SUV / 4x4,Hybrid,"1,500 cc",0 km,"Rs 21,000,000"
https://ikman.lk/en/ad/honda-vezel-z-play-sunroof-2023-for-sale-colombo,Honda Vezel Z Play Sunroof 2023,"Posted on 24 Apr 8:17 am, Kohuwala, Colombo1711views",Honda,Vezel,0,Z Play Sunroof,2023,Reconditioned,Tiptronic,SUV / 4x4,Hybrid,"1,500 cc","9,000 km","Rs 23,400,000"
https://ikman.lk/en/ad/honda-vezel-z-play-sunroof-sound-2023-for-sale-colombo,Honda Vezel Z Play Sunroof sound 2023,"Posted on 11 Apr 5:21 am, Kohuwala, Colombo3077views",Honda,Vezel,0,Z Play Sunroof sound,2023,Reconditioned,Tiptronic,SUV / 4x4,Hybrid,"1,500 cc","1,600 km","Rs 22,950,000"
https://ikman.lk/en/ad/honda-vezel-x-hunt-2024-for-sale-gampaha,Honda Vezel X Hunt 2024,"Posted on 05 May 10:23 am, Delgoda, Gampaha3436views",Honda,Vezel,0,X Hunt,2024,Reconditioned,Tiptronic,SUV / 4x4,Hybrid,"1,500 cc","2,300 km","Rs 19,500,000"
https://ikman.lk/en/ad/toyota-allion-260-2011-for-sale-kurunegala-2,Toyota Allion 260 2011,"Posted on 08 May 12:49 pm, Kurunegala City, Kurunegala",Toyota,Allion,0,260,2011,Used,Automatic,Saloon,Petrol,"1,500 cc","176,000 km","Rs 9,800,000"
https://ikman.lk/en/ad/toyota-vios-2007-for-sale-gampaha-143,Toyota Vios 2007,"Posted on 08 May 12:38 pm, Ragama, Gampaha",Toyota,Vios,0,0,2007,Used,Automatic,Saloon,Petrol,"1,490 cc","195,000 km","Rs 6,325,000"
https://ikman.lk/en/ad/toyota-land-cruiser-sahara-lc-300-2024-for-sale-colombo-2,Toyota Land Cruiser Sahara LC 300 2024,"Posted on 08 May 12:24 pm, Kotte, Colombo",Toyota,Land Cruiser Sahara,0,LC 300,2024,New,Automatic,SUV / 4x4,Petrol,"3,500 cc",0 km,"Rs 98,500,000"
https://ikman.lk/en/ad/toyota-aqua-s-grade-2012-for-sale-colombo-915,Toyota Aqua S Grade 2012,"Posted on 08 May 12:17 pm, Homagama, Colombo4047views",Toyota,Aqua,0,S Grade ,2012,Used,Automatic,Hatchback,Petrol,"1,500 cc","172,000 km","Rs 6,950,000"
https://ikman.lk/en/ad/toyota-premio-g-superior-2017-for-sale-hambantota,Toyota Premio G Superior 2017,"Posted on 08 May 12:06 pm, Hambantota City, Hambantota",Toyota,Premio,0,G Superior,2017,Used,Automatic,Saloon,Petrol,"1,500 cc","16,618 km","Rs 2,500,000"
https://ikman.lk/en/ad/toyota-land-cruiser-prado-lc-250-1-edition-2024-for-sale-colombo-2,Toyota Land Cruiser Prado LC 250 | 1 EDITION 2024,"Posted on 08 May 11:46 am, Kotte, Colombo",Toyota,Land Cruiser Prado,0,LC 250 | 1 EDITION,2024,New,Automatic,SUV / 4x4,Petrol,"2,700 cc",0 km,"Rs 71,000,000"
