Brand,Model,Transmission,Fuel type,Year of Manufacture,Median_Price
BMW,318i,Automatic,Petrol,2008,12561062.18
BMW,318i,Automatic,Petrol,2009,13716580.31
BMW,318i,Automatic,Petrol,2010,14872098.45
BMW,318i,Automatic,Petrol,2011,16027616.58
BMW,318i,Automatic,Petrol,2012,17183134.72
BMW,318i,Automatic,Petrol,2013,18338652.85
BMW,318i,Automatic,Petrol,2014,19494170.98
BMW,318i,Automatic,Petrol,2015,20649689.12
BMW,318i,Automatic,Petrol,2016,21000000.0
BMW,318i,Automatic,Petrol,2017,21500000.0
BMW,318i,Automatic,Petrol,2018,24116243.52
BMW,318i,Automatic,Petrol,2019,25271761.66
Daihatsu,Mira,Automatic,Petrol,2006,3148285.71
Daihatsu,Mira,Automatic,Petrol,2007,3387000.0
Daihatsu,Mira,Automatic,Petrol,2008,3625714.29
Daihatsu,Mira,Automatic,Petrol,2009,3864428.57
Daihatsu,Mira,Automatic,Petrol,2010,4103142.86
Daihatsu,Mira,Automatic,Petrol,2011,4341857.14
Daihatsu,Mira,Automatic,Petrol,2012,4580571.43
Daihatsu,Mira,Automatic,Petrol,2013,4819285.71
Daihatsu,Mira,Automatic,Petrol,2014,5058000.0
Daihatsu,Mira,Automatic,Petrol,2015,5296714.29
Daihatsu,Mira,Automatic,Petrol,2016,5450000.0
Daihatsu,Mira,Automatic,Petrol,2017,5774142.86
Daihatsu,Mira,Automatic,Petrol,2018,6012857.14
Daihatsu,Mira,Automatic,Petrol,2019,6251571.43
Daihatsu,Mira,Automatic,Petrol,2020,6490285.71
Daihatsu,Mira,Automatic,Petrol,2021,6729000.0
Daihatsu,Mira,Automatic,Petrol,2022,6967714.29
Daihatsu,Mira,Automatic,Petrol,2023,6950000.0
Daihatsu,Mira,Automatic,Petrol,2024,7320000.0
Daihatsu,Mira,Automatic,Petrol,2025,7683857.14
Daihatsu,Other Model,Automatic,Petrol,2023,8842500.0
Daihatsu,Other Model,Automatic,Petrol,2024,9450000.0
Daihatsu,Other Model,Automatic,Petrol,2025,10287500.0
Daihatsu,Terios,Automatic,Petrol,2004,4875000.0
Daihatsu,Terios,Automatic,Petrol,2005,5574999.33
Daihatsu,Terios,Automatic,Petrol,2006,6024999.33
Daihatsu,Terios,Automatic,Petrol,2007,6474999.33
Daihatsu,Terios,Automatic,Petrol,2008,6924999.33
Daihatsu,Terios,Automatic,Petrol,2009,7374999.33
Daihatsu,Terios,Automatic,Petrol,2010,7575000.0
Honda,Vezel,Tiptronic,Hybrid,2018,14500000.0
Honda,Vezel,Tiptronic,Hybrid,2019,16141935.48
Honda,Vezel,Tiptronic,Hybrid,2020,17663709.68
Honda,Vezel,Tiptronic,Hybrid,2021,19185483.87
