Brand,Model,Transmission,Fuel type,Year of Manufacture,Median_Price
BMW,318i,Automatic,Petrol,2008,13000000.0
BMW,318i,Automatic,Petrol,2009,13000221.6
BMW,318i,Automatic,Petrol,2010,13000221.6
BMW,318i,Automatic,Petrol,2011,13000221.6
BMW,318i,Automatic,Petrol,2012,13000221.6
BMW,318i,Automatic,Petrol,2013,21000009.11
BMW,318i,Automatic,Petrol,2014,21000009.11
BMW,318i,Automatic,Petrol,2015,21000009.11
BMW,318i,Automatic,Petrol,2016,21000000.0
BMW,318i,Automatic,Petrol,2017,21499995.83
BMW,318i,Automatic,Petrol,2018,24624912.83
BMW,318i,Automatic,Petrol,2019,26589860.63
BMW,X1,Automatic,Petrol,2018,21575000.0
BMW,X1,Automatic,Petrol,2019,29499916.55
BMW,X1,Automatic,Petrol,2020,27999956.4
Daihatsu,Mira,Automatic,Petrol,2006,4495000.0
Daihatsu,Mira,Automatic,Petrol,2007,4495046.92
Daihatsu,Mira,Automatic,Petrol,2008,4495046.92
Daihatsu,Mira,Automatic,Petrol,2009,4495046.92
Daihatsu,Mira,Automatic,Petrol,2010,4495046.92
Daihatsu,Mira,Automatic,Petrol,2011,5689999.81
Daihatsu,Mira,Automatic,Petrol,2012,5689999.81
Daihatsu,Mira,Automatic,Petrol,2013,5689999.81
Daihatsu,Mira,Automatic,Petrol,2014,5689999.81
Daihatsu,Mira,Automatic,Petrol,2015,5689999.81
Daihatsu,Mira,Automatic,Petrol,2016,5450000.0
Daihatsu,Mira,Automatic,Petrol,2017,5949997.91
Daihatsu,Mira,Automatic,Petrol,2018,5949997.91
Daihatsu,Mira,Automatic,Petrol,2019,5949997.91
Daihatsu,Mira,Automatic,Petrol,2020,5949997.91
Daihatsu,Mira,Automatic,Petrol,2021,6949981.71
Daihatsu,Mira,Automatic,Petrol,2022,6949981.71
Daihatsu,Mira,Automatic,Petrol,2023,6949981.71
Daihatsu,Mira,Automatic,Petrol,2024,7319971.88
Daihatsu,Mira,Automatic,Petrol,2025,7974954.49
Daihatsu,Other Model,Automatic,Petrol,2023,8900000.0
Daihatsu,Other Model,Automatic,Petrol,2024,9450000.0
Daihatsu,Other Model,Automatic,Petrol,2025,10344979.28
Daihatsu,Terios,Automatic,Petrol,2004,4875000.0
Daihatsu,Terios,Automatic,Petrol,2005,4875042.5
Daihatsu,Terios,Automatic,Petrol,2006,6974984.72
Daihatsu,Terios,Automatic,Petrol,2007,6974984.72
Daihatsu,Terios,Automatic,Petrol,2008,6974984.72
Daihatsu,Terios,Automatic,Petrol,2009,7574970.78
Daihatsu,Terios,Automatic,Petrol,2010,7574970.78
Honda,Vezel,Tiptronic,Hybrid,2018,14500000.0
Honda,Vezel,Tiptronic,Hybrid,2019,14500156.71
Honda,Vezel,Tiptronic,Hybrid,2020,14500156.71
